report,date_range,row_index,query,clicks,impressions,ctr,avg_position
gsc_queries,"Apr 9-May 13, 2026",30,$25 office gift ideas,0,2,0%,47.50
gsc_queries,"Apr 9-May 13, 2026",31,ai for gift ideas,0,2,0%,87.50
gsc_queries,"Apr 9-May 13, 2026",32,ai gift finder free,0,2,0%,77.50
gsc_queries,"Apr 9-May 13, 2026",33,ai gift helper,0,2,0%,86.50
gsc_queries,"Apr 9-May 13, 2026",34,ai gift idea generator free,0,2,0%,68.00
gsc_queries,"Apr 9-May 13, 2026",35,ai gift ideas generator for girlfriend,0,2,0%,91.50
gsc_queries,"Apr 9-May 13, 2026",36,ai powered gift ideas,0,2,0%,79.00
gsc_queries,"Apr 9-May 13, 2026",37,amazon gifts for home,0,2,0%,48.00
gsc_queries,"Apr 9-May 13, 2026",38,birthday gift ideas ai,0,2,0%,95.50
gsc_queries,"Apr 9-May 13, 2026",39,gift ai ideas,0,2,0%,85.00
gsc_queries,"Apr 9-May 13, 2026",40,gift finder website,0,2,0%,91.00
gsc_queries,"Apr 9-May 13, 2026",41,gift giving ai,0,2,0%,85.00
gsc_queries,"Apr 9-May 13, 2026",42,gift ia,0,2,0%,94.00
gsc_queries,"Apr 9-May 13, 2026",43,gift idea generator,0,2,0%,75.00
gsc_queries,"Apr 9-May 13, 2026",44,holiday gift books,0,2,0%,83.00
gsc_queries,"Apr 9-May 13, 2026",45,$25 gifts for coworkers,0,1,0%,83.00
gsc_queries,"Apr 9-May 13, 2026",46,2025 gift ideas,0,1,0%,78.00
gsc_queries,"Apr 9-May 13, 2026",47,ai gift idea generator today show,0,1,0%,88.00
gsc_queries,"Apr 9-May 13, 2026",48,ai gift ideas,0,1,0%,72.00
gsc_queries,"Apr 9-May 13, 2026",49,ai gift recommender,0,1,0%,85.00
gsc_queries,"Apr 9-May 13, 2026",50,amazon gifts for the home,0,1,0%,49.00
gsc_queries,"Apr 9-May 13, 2026",51,amazon home gifts,0,1,0%,45.00
gsc_queries,"Apr 9-May 13, 2026",52,be rooted planner,0,1,0%,59.00
gsc_queries,"Apr 9-May 13, 2026",53,best ai gift finder,0,1,0%,127.00
gsc_queries,"Apr 9-May 13, 2026",54,best ai gift idea generator,0,1,0%,77.00
gsc_queries,"Apr 9-May 13, 2026",55,best gift for coworker under $25,0,1,0%,88.00
gsc_queries,"Apr 9-May 13, 2026",56,birthday gift generator,0,1,0%,91.00
gsc_queries,"Apr 9-May 13, 2026",57,christmas gift idea generator,0,1,0%,85.00
gsc_queries,"Apr 9-May 13, 2026",58,christmas gift trends 2025,0,1,0%,88.00
gsc_queries,"Apr 9-May 13, 2026",59,get gift ideas,0,1,0%,99.00
gsc_queries,"Apr 9-May 13, 2026",60,gift generator free,0,1,0%,89.00
gsc_queries,"Apr 9-May 13, 2026",61,gift generators,0,1,0%,88.00
gsc_queries,"Apr 9-May 13, 2026",62,gift helper,0,1,0%,95.00
gsc_queries,"Apr 9-May 13, 2026",63,gift idea generator based on interests,0,1,0%,84.00
gsc_queries,"Apr 9-May 13, 2026",64,gift idea generator personality,0,1,0%,64.00
gsc_queries,"Apr 9-May 13, 2026",65,gift suggestion generator,0,1,0%,76.00
gsc_queries,"Apr 9-May 13, 2026",66,holiday gifts books,0,1,0%,76.00
gsc_queries,"Apr 9-May 13, 2026",67,present idea generator,0,1,0%,78.00
gsc_queries,"Apr 9-May 13, 2026",68,random present generator,0,1,0%,84.00
gsc_queries,"Apr 9-May 13, 2026",69,unique gift ideas ai,0,1,0%,84.00
